strategy,network_latency_ms,n_images,n_latency_samples,n_errors,accuracy_source_latency_ms,mean_latency_ms,median_latency_ms,p95_latency_ms,std_latency_ms,tp,fp,fn,precision,recall,f1,offload_rate,zero_detection_offload_share
cloud,0,150,750,0,0,553.1,541.8,821.3,157.1,257,100,264,0.7199,0.4933,0.5854,n/a,n/a
cloud,100,150,750,0,0,1288.8,1287.1,2115.9,449.6,257,100,264,0.7199,0.4933,0.5854,n/a,n/a
cloud,300,150,750,0,0,2478.0,2580.2,3755.5,874.4,257,100,264,0.7199,0.4933,0.5854,n/a,n/a
device,0,150,750,0,0,1184.7,1202.4,1492.1,182.1,214,103,307,0.6751,0.4107,0.5107,n/a,n/a
edge,0,150,750,0,0,174.0,168.8,252.9,36.7,250,153,271,0.6203,0.4798,0.5411,n/a,n/a
edge,100,150,750,0,0,277.7,268.8,405.9,47.9,250,153,271,0.6203,0.4798,0.5411,n/a,n/a
edge,300,150,750,0,0,489.0,469.2,804.6,87.7,250,153,271,0.6203,0.4798,0.5411,n/a,n/a
hi-cloud,0,150,750,0,0,1487.2,1371.0,2152.2,350.4,238,91,283,0.7234,0.4568,0.56,0.44,0.0606
hi-cloud,100,150,750,0,0,1809.5,1387.1,3079.7,763.7,238,91,283,0.7234,0.4568,0.56,0.44,0.0606
hi-cloud,300,150,750,0,0,2453.7,1397.7,5137.9,1579.6,238,91,283,0.7234,0.4568,0.56,0.44,0.0606
hi-edge,0,150,750,0,0,1277.5,1261.1,1667.9,205.4,235,119,286,0.6638,0.4511,0.5371,0.44,0.0606
hi-edge,100,150,750,0,0,1500.3,1310.4,2315.3,443.5,235,119,286,0.6638,0.4511,0.5371,0.44,0.0606
hi-edge,300,150,750,0,0,1869.6,1377.3,3767.3,947.7,235,119,286,0.6638,0.4511,0.5371,0.44,0.0606
